time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],air_pressure_at_sea_level[unit="hectoPascal"],air_temperature[unit="Celsius"],cloud_area_fraction[unit=""],dew_point_temperature[unit="Celsius"],high_cloud_area_fraction[unit=""],high_cloud_base_altitude[unit="meters"],low_cloud_area_fraction[unit=""],low_cloud_base_altitude[unit="meters"],middle_cloud_area_fraction[unit=""],middle_cloud_base_altitude[unit="meters"],precipitation_amount_24[unit=".01 inches"],precipitation_amount_hourly[unit=".01 inches"],visibility_in_air[unit="US_statute_mile"],weather,wind_from_direction[unit="degrees"],wind_speed[unit="m/s"],xfields
2016-01-16 00:00:00Z,WWE,43.979,-64.669,1014.5,-6.9,NaN,-10.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,280,1.543332,AO1 SOG 00 8007
2016-01-16 00:00:00Z,WWF,49.700,-103.800,1022.2,-24.1,NaN,-26.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,340,4.629996,AO1 SOG 06 1019
2016-01-15 23:55:00Z,WWR,36.430,-99.529,NaN,5.0,0.375,-3.0,NaN,NaN,0.375,3600.0,NaN,NaN,NaN,NaN,10.0,,30,2.57222,AO2
2016-01-16 00:00:00Z,WWX,45.330,-81.730,995.0,2.6,NaN,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,200,2.057776,AO1 55006
2016-01-16 00:00:00Z,WWZ,43.250,-79.220,999.3,2.1,NaN,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,110,3.086664,AO1 SOG 00 8008
2016-01-16 00:00:00Z,WXC,48.880,-71.029,1013.2,-22.4,NaN,-24.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,20,1.028888,AO1 58026
2016-01-16 00:00:00Z,WXL,49.630,-111.449,NaN,-12.3,NaN,-15.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,30,4.115552,AO1
2016-01-16 00:00:00Z,WYY,49.029,-119.430,1020.3,-1.8,NaN,-4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,160,2.057776,AO1 55002
2016-01-16 00:00:00Z,WZQ,46.529,-61.080,1009.8,-4.5,NaN,-5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,250,7.71666,AO1 50012
2016-01-16 00:00:00Z,WZS,48.470,-87.430,1011.6,-12.9,NaN,-15.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,30,1.543332,AO1 50001
