,timeObs,stationName,longitude,latitude,temperature,dewpoint,windDir,windSpeed,seaLevelPress,presWeather,skyCover,skyLayerBase
343,2016-06-22 13:15:00,KRSN,-92.5879974365,32.513999939,33.0,24.0,200.0,7.0,-9999.0,"['', '', '', '', '']","['SCT', 'SCT', '', '', '', '']","[3800.0, 5000.0, -9999.0, -9999.0, -9999.0, -9999.0]"
344,2016-06-22 13:15:00,KRWV,-96.7040023804,30.5149993896,32.0,21.0,150.0,7.0,-9999.0,"['', '', '', '', '']","['FEW', 'FEW', '', '', '', '']","[4100.0, 11000.0, -9999.0, -9999.0, -9999.0, -9999.0]"
328,2016-06-22 13:15:00,KLUD,-97.5810012817,33.2550010681,34.0,19.0,190.0,11.0,-9999.0,"['', '', '', '', '']","['SCT', '', '', '', '', '']","[6500.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
327,2016-06-22 13:15:00,KLRU,-106.92199707,32.2890014648,38.0,3.0,300.0,4.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
326,2016-06-22 13:15:00,KLRJ,-96.1999969482,42.7799987793,31.0,22.0,340.0,7.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
325,2016-06-22 13:15:00,KMCD,-84.6399993896,45.8600006104,18.0,5.0,230.0,5.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
310,2016-06-22 13:15:00,KDNV,-87.5999984741,40.2000007629,23.0,21.0,170.0,10.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
311,2016-06-22 13:15:00,KDQH,-82.861000061,31.4769992828,33.0,15.0,230.0,8.0,-9999.0,"['', '', '', '', '']","['SCT', '', '', '', '', '']","[7000.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
312,2016-06-22 13:15:00,KDRI,-93.3399963379,30.8320007324,32.0,21.0,160.0,8.0,-9999.0,"['', '', '', '', '']","['SCT', '', '', '', '', '']","[4800.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
313,2016-06-22 13:15:00,KDUA,-96.3899993896,33.9399986267,35.0,21.0,210.0,10.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
314,2016-06-22 13:15:00,KDUX,-102.013000488,35.858001709,36.0,14.0,180.0,8.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
315,2016-06-22 13:15:00,KDZB,-98.3590011597,30.5270004272,33.0,20.0,130.0,6.0,-9999.0,"['', '', '', '', '']","['SCT', 'SCT', '', '', '', '']","[4800.0, 5500.0, -9999.0, -9999.0, -9999.0, -9999.0]"
316,2016-06-22 13:15:00,KE38,-103.683998108,30.3840007782,33.0,11.0,330.0,4.0,-9999.0,"['', '', '', '', '']","['SCT', '', '', '', '', '']","[8000.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
317,2016-06-22 13:15:00,KEBG,-98.1289978027,26.4419994354,35.0,21.0,130.0,8.0,-9999.0,"['', '', '', '', '']","['BKN', 'BKN', '', '', '', '']","[5000.0, 6000.0, -9999.0, -9999.0, -9999.0, -9999.0]"
318,2016-06-22 13:15:00,KEBS,-93.8700027466,42.4300003052,30.0,22.0,0.0,0.0,-9999.0,"['', '', '', '', '']","['SCT', 'SCT', '', '', '', '']","[3500.0, 4100.0, -9999.0, -9999.0, -9999.0, -9999.0]"
319,2016-06-22 13:15:00,KEMV,-77.4800033569,36.6899986267,29.0,18.0,270.0,7.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
320,2016-06-22 13:15:00,KEOK,-91.4300003052,40.4700012207,31.0,24.0,170.0,10.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
321,2016-06-22 13:15:00,KEZM,-83.1286697388,32.2163887024,34.0,6.0,210.0,6.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
322,2016-06-22 13:15:00,KEZS,-88.5599975586,44.7869987488,23.0,15.0,130.0,7.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
323,2016-06-22 13:15:00,KF05,-99.283996582,34.2260017395,37.0,12.0,170.0,15.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
